,user_id,status,efhe3
3584,118,notpassing,course v1 utpl efhe 2016
3585,3139,notpassing,course v1 utpl efhe 2016
3586,3140,notpassing,course v1 utpl efhe 2016
3587,887,downloadable,course v1 utpl efhe 2016
3588,885,downloadable,course v1 utpl efhe 2016
3589,989,downloadable,course v1 utpl efhe 2016
3590,2924,downloadable,course v1 utpl efhe 2016
3591,2355,notpassing,course v1 utpl efhe 2016
3592,927,notpassing,course v1 utpl efhe 2016
3593,1925,downloadable,course v1 utpl efhe 2016
3594,3206,notpassing,course v1 utpl efhe 2016
3595,3110,downloadable,course v1 utpl efhe 2016
3596,886,downloadable,course v1 utpl efhe 2016
3597,3152,notpassing,course v1 utpl efhe 2016
3598,1084,notpassing,course v1 utpl efhe 2016
3599,3229,downloadable,course v1 utpl efhe 2016
3600,3223,notpassing,course v1 utpl efhe 2016
3601,3230,notpassing,course v1 utpl efhe 2016
3602,3219,downloadable,course v1 utpl efhe 2016
3603,3231,downloadable,course v1 utpl efhe 2016
3604,3232,downloadable,course v1 utpl efhe 2016
3605,1666,downloadable,course v1 utpl efhe 2016
3606,3234,downloadable,course v1 utpl efhe 2016
3607,1210,downloadable,course v1 utpl efhe 2016
3608,2643,downloadable,course v1 utpl efhe 2016
3609,2731,downloadable,course v1 utpl efhe 2016
3610,1300,notpassing,course v1 utpl efhe 2016
3611,3235,notpassing,course v1 utpl efhe 2016
3612,2632,notpassing,course v1 utpl efhe 2016
3613,1742,notpassing,course v1 utpl efhe 2016
3614,1166,downloadable,course v1 utpl efhe 2016
3615,2520,downloadable,course v1 utpl efhe 2016
3616,794,downloadable,course v1 utpl efhe 2016
3617,915,downloadable,course v1 utpl efhe 2016
3618,1518,notpassing,course v1 utpl efhe 2016
3619,2348,downloadable,course v1 utpl efhe 2016
3620,1170,downloadable,course v1 utpl efhe 2016
3621,811,downloadable,course v1 utpl efhe 2016
3622,1047,downloadable,course v1 utpl efhe 2016
3623,1793,downloadable,course v1 utpl efhe 2016
3624,2479,notpassing,course v1 utpl efhe 2016
3625,2018,downloadable,course v1 utpl efhe 2016
3626,3236,downloadable,course v1 utpl efhe 2016
3627,874,downloadable,course v1 utpl efhe 2016
3628,3237,notpassing,course v1 utpl efhe 2016
3629,2041,downloadable,course v1 utpl efhe 2016
3630,1356,downloadable,course v1 utpl efhe 2016
3631,2088,downloadable,course v1 utpl efhe 2016
3632,3238,downloadable,course v1 utpl efhe 2016
3633,3233,downloadable,course v1 utpl efhe 2016
3634,2534,downloadable,course v1 utpl efhe 2016
3635,770,downloadable,course v1 utpl efhe 2016
3636,1260,downloadable,course v1 utpl efhe 2016
3637,3239,notpassing,course v1 utpl efhe 2016
3638,3240,downloadable,course v1 utpl efhe 2016
3639,2499,downloadable,course v1 utpl efhe 2016
3640,2637,notpassing,course v1 utpl efhe 2016
3641,1646,notpassing,course v1 utpl efhe 2016
3642,1131,notpassing,course v1 utpl efhe 2016
3643,992,downloadable,course v1 utpl efhe 2016
3644,3211,downloadable,course v1 utpl efhe 2016
3645,3243,notpassing,course v1 utpl efhe 2016
3646,3209,notpassing,course v1 utpl efhe 2016
3647,1115,downloadable,course v1 utpl efhe 2016
3648,956,downloadable,course v1 utpl efhe 2016
3649,1451,downloadable,course v1 utpl efhe 2016
3650,1580,downloadable,course v1 utpl efhe 2016
3651,1384,notpassing,course v1 utpl efhe 2016
3652,3245,notpassing,course v1 utpl efhe 2016
3653,1158,notpassing,course v1 utpl efhe 2016
3654,1852,downloadable,course v1 utpl efhe 2016
3655,2276,downloadable,course v1 utpl efhe 2016
3656,925,notpassing,course v1 utpl efhe 2016
3657,3246,notpassing,course v1 utpl efhe 2016
3658,3247,notpassing,course v1 utpl efhe 2016
3659,2400,downloadable,course v1 utpl efhe 2016
3660,1729,downloadable,course v1 utpl efhe 2016
3661,3031,notpassing,course v1 utpl efhe 2016
3662,1305,downloadable,course v1 utpl efhe 2016
3663,3250,notpassing,course v1 utpl efhe 2016
3664,2463,notpassing,course v1 utpl efhe 2016
3665,1791,notpassing,course v1 utpl efhe 2016
3666,2647,downloadable,course v1 utpl efhe 2016
3667,1395,downloadable,course v1 utpl efhe 2016
3668,1664,downloadable,course v1 utpl efhe 2016
3669,1600,downloadable,course v1 utpl efhe 2016
3670,3251,downloadable,course v1 utpl efhe 2016
3671,3035,notpassing,course v1 utpl efhe 2016
3672,1288,downloadable,course v1 utpl efhe 2016
3673,1426,notpassing,course v1 utpl efhe 2016
3674,2341,notpassing,course v1 utpl efhe 2016
3675,1387,notpassing,course v1 utpl efhe 2016
3676,2077,notpassing,course v1 utpl efhe 2016
3677,950,notpassing,course v1 utpl efhe 2016
3678,1001,downloadable,course v1 utpl efhe 2016
3679,2939,notpassing,course v1 utpl efhe 2016
3680,2883,downloadable,course v1 utpl efhe 2016
3681,2264,notpassing,course v1 utpl efhe 2016
3682,2600,downloadable,course v1 utpl efhe 2016
3683,3252,notpassing,course v1 utpl efhe 2016
3684,2002,notpassing,course v1 utpl efhe 2016
3685,3253,downloadable,course v1 utpl efhe 2016
3686,1936,notpassing,course v1 utpl efhe 2016
3687,3217,notpassing,course v1 utpl efhe 2016
3688,789,downloadable,course v1 utpl efhe 2016
3689,1721,downloadable,course v1 utpl efhe 2016
3690,120,notpassing,course v1 utpl efhe 2016
3691,3255,notpassing,course v1 utpl efhe 2016
3692,3226,downloadable,course v1 utpl efhe 2016
3693,3242,downloadable,course v1 utpl efhe 2016
3694,1389,downloadable,course v1 utpl efhe 2016
3695,2954,downloadable,course v1 utpl efhe 2016
3696,1299,notpassing,course v1 utpl efhe 2016
3697,3089,downloadable,course v1 utpl efhe 2016
3698,3258,notpassing,course v1 utpl efhe 2016
3699,1162,downloadable,course v1 utpl efhe 2016
3700,3041,notpassing,course v1 utpl efhe 2016
3701,1112,downloadable,course v1 utpl efhe 2016
3702,1914,notpassing,course v1 utpl efhe 2016
3703,1913,notpassing,course v1 utpl efhe 2016
3704,1911,downloadable,course v1 utpl efhe 2016
3705,1632,downloadable,course v1 utpl efhe 2016
3706,1751,downloadable,course v1 utpl efhe 2016
3707,999,notpassing,course v1 utpl efhe 2016
3708,1861,downloadable,course v1 utpl efhe 2016
3709,2918,downloadable,course v1 utpl efhe 2016
3710,1497,notpassing,course v1 utpl efhe 2016
3711,1923,notpassing,course v1 utpl efhe 2016
3712,1149,downloadable,course v1 utpl efhe 2016
3713,3263,notpassing,course v1 utpl efhe 2016
3714,1692,notpassing,course v1 utpl efhe 2016
3715,3264,notpassing,course v1 utpl efhe 2016
3716,1298,downloadable,course v1 utpl efhe 2016
3717,1870,downloadable,course v1 utpl efhe 2016
3718,3265,downloadable,course v1 utpl efhe 2016
3719,3268,notpassing,course v1 utpl efhe 2016
3720,296,notpassing,course v1 utpl efhe 2016
3721,3269,downloadable,course v1 utpl efhe 2016
3722,3267,downloadable,course v1 utpl efhe 2016
3723,3271,downloadable,course v1 utpl efhe 2016
3724,3273,downloadable,course v1 utpl efhe 2016
3725,2212,downloadable,course v1 utpl efhe 2016
3726,2207,downloadable,course v1 utpl efhe 2016
3727,3274,downloadable,course v1 utpl efhe 2016
3728,3276,notpassing,course v1 utpl efhe 2016
3729,3277,notpassing,course v1 utpl efhe 2016
3730,1576,downloadable,course v1 utpl efhe 2016
3731,3282,notpassing,course v1 utpl efhe 2016
3732,3275,notpassing,course v1 utpl efhe 2016
3733,3283,downloadable,course v1 utpl efhe 2016
3734,1815,notpassing,course v1 utpl efhe 2016
3735,3286,downloadable,course v1 utpl efhe 2016
3736,3285,downloadable,course v1 utpl efhe 2016
3737,2327,downloadable,course v1 utpl efhe 2016
3738,3287,notpassing,course v1 utpl efhe 2016
3739,440,notpassing,course v1 utpl efhe 2016
3740,2921,notpassing,course v1 utpl efhe 2016
3741,3288,notpassing,course v1 utpl efhe 2016
3742,3289,notpassing,course v1 utpl efhe 2016
3743,1722,notpassing,course v1 utpl efhe 2016
3744,2586,downloadable,course v1 utpl efhe 2016
3745,3290,notpassing,course v1 utpl efhe 2016
3746,3291,notpassing,course v1 utpl efhe 2016
