,nombre_usuario,#_iteraciones
159,anagabrielav ,111411.0
1136,ingridlojant ,37792.0
939,franciscobuenano ,14950.0
784,egsantos1 ,9644.0
2448,pezambrano ,8887.0
1932,mariadelcisne ,4201.0
2778,thaliaangamarca ,4118.0
2356,pablovillarreal123 ,4081.0
1718,lili2017 ,3751.0
810,elizita ,3735.0
1923,maria piedad toro ,3576.0
525,cristinatorres ,3537.0
2156,mirn1978 ,3507.0
1745,llsantillan ,3427.0
527,cruzcaya labanda ,3200.0
1585,katherineguayllas ,2590.0
2186,mlcordova ,2538.0
1582,katherine vasquez 1995 ,2343.0
175,andrea pisco91 ,2311.0
2751,tannyaborbor ,2219.0
2823,verito jimenez1983 ,2064.0
2131,michellpineda ,2012.0
2233,msfonseca ,2002.0
2828,veronica changovalin ,1988.0
155,anabell ,1978.0
1034,gianellaochoa ,1957.0
845,ermora ,1939.0
2806,vane123 ,1930.0
2122,micc ,1925.0
19,abpalacios ,1809.0
1333,jhuliana torres ,1788.0
2622,santiagogrados ,1711.0
1680,lcjaramillo ,1707.0
943,francojj944 ,1694.0
961,gabbyvillalta ,1690.0
1656,lacampoverde ,1662.0
2264,nayeliquezada ,1621.0
1836,macisnerc 2017 ,1594.0
2435,pauly5 ,1584.0
1741,llcueva1 ,1571.0
2709,sophiasanchezl ,1564.0
1175,jacky 3 ,1537.0
553,daniel peralta7 ,1522.0
107,alexandraluden a ,1505.0
1679,lchala ,1492.0
1685,ldabendano ,1492.0
1306,jessicalagla ,1490.0
2734,susanamendoza ,1490.0
736,dslazo ,1484.0
1388,johanasaquipay ,1478.0
1556,karinasanabria ,1475.0
12,abel ,1454.0
1363,jmfalconi ,1443.0
1990,mariuxicambisaca ,1437.0
2118,mguadalupe ,1432.0
2573,rosy gaona ,1391.0
2278,nemartinez ,1370.0
248,anita cuenca32 ,1366.0
1735,lizbethr ,1356.0
2667,silvana narvaez ,1352.0
1047,giovanny ,1339.0
1299,jessicaborja ,1334.0
2959,yolandaduque ,1329.0
2038,mavillacis26 ,1314.0
703,diegosalcedo ,1293.0
1973,marielatroya ,1277.0
2211,morena ,1275.0
2583,rrordonez ,1269.0
2798,valeria morocho ,1258.0
1030,giancarlo ,1252.0
1039,gina lc 61 ,1232.0
2060,mcgonzalez12 ,1216.0
2968,yuliguarnizo9 ,1202.0
728,doris ,1196.0
263,apcriollo ,1181.0
1880,mamurillo1 ,1179.0
2628,sara821982 ,1176.0
2522,ridiaz1 ,1171.0
168,and97 ,1170.0
435,cesarochoa ,1161.0
2190,mmcastillo3 ,1154.0
1827,maarias9 ,1130.0
470,cjpaez1 ,1116.0
869,eva 24 ,1091.0
1341,jimena18 05 1991 ,1085.0
1224,jccampoverde8 ,1076.0
517,cristina torres ,1073.0
540,dacarrion1 ,1069.0
300,bernardoix2412 ,1064.0
154,anabelcordova ,1059.0
257,antoniasoto ,1059.0
672,dianaesther ,1058.0
1204,jannyloor ,1055.0
673,dianagoveo ,1054.0
1778,lucetty ,1051.0
234,angelica mera ,1040.0
113,alexis montoya ,1024.0
718,dmcango ,1019.0
2401,patriciasanchez ,1019.0
2770,teleon3 ,1005.0
2763,tatianazco ,1000.0
895,fdhidalgo ,998.0
2108,mfernanda ,992.0
516,cristina paucar ,991.0
746,ebchillogallo ,991.0
1518,k rla cort z ,983.0
1067,gonzaloy ,981.0
2870,vjmoreno2 ,981.0
33,adolfoarguello ,978.0
1906,marciaespinoza ,964.0
2248,naomibermeo ,962.0
2890,wallpari ,961.0
275,arsaguma ,958.0
2476,priscilamontesdeoca ,955.0
1806,luisitaromero ,942.0
1483,juanestrella ,926.0
2587,rubencuaical ,922.0
2254,natalycuasapaz ,916.0
173,andrea chs ,906.0
1629,kfsarango1 ,906.0
1930,mariacartagena ,900.0
2080,melguevara ,891.0
2200,monicacastillo ,886.0
2521,richardpadilla ,883.0
1996,marjorie yaguana ,877.0
156,anacaro ,865.0
882,fabiang ,863.0
137,ammolina4 ,862.0
1448,jossfreire ,861.0
1413,jonathansatalin ,860.0
566,danielasanchez ,860.0
2669,silvanasandoval ,858.0
815,ely ,854.0
1904,marciaaviles ,852.0
2853,victorgualan ,847.0
