Category|Descript
video|video
video|type@video
video|load_video
video|seek_video
video|pause_video
video|play_video
video|{"username": "josguarnizo", "event_type": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/transcript/translation/en", "ip": "172.17.45.254", "agent": "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36", "host": "opencampus.utpl.edu.ec", "referer": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "accept_language": "es-ES,es;q=0.8", "event": "{\"POST\": {}, \"GET\": {\"videoId\": [\"W3QqknVtHGw\"]}}", "event_source": "server", "context": {"course_user_tags": {}, "user_id": 3139, "org_id": "UTPL", "course_id": "course-v1:UTPL+EFHE+2016", "path": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/transcript/translation/en"}, "time": "2016-10-24T17:02:06.866134+00:00", "page": null},
video|{"username": "josguarnizo", "event_type": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/xmodule_handler/save_user_state", "ip": "172.17.45.254", "agent": "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36", "host": "opencampus.utpl.edu.ec", "referer": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "accept_language": "es-ES,es;q=0.8", "event": "{\"POST\": {\"youtube_is_available\": [\"true\"]}, \"GET\": {}}", "event_source": "server", "context": {"course_user_tags": {}, "user_id": 3139, "org_id": "UTPL", "course_id": "course-v1:UTPL+EFHE+2016", "path": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/xmodule_handler/save_user_state"}, "time": "2016-10-24T17:02:07.314850+00:00", "page": null},
video|{"username": "josguarnizo", "event_source": "browser", "name": "load_video", "accept_language": "es-ES,es;q=0.8", "time": "2016-10-24T17:02:07.363418+00:00", "agent": "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36", "page": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "host": "opencampus.utpl.edu.ec", "session": "c78c6bc04e8ad46658591b0d0272160e", "referer": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "context": {"user_id": 3139, "org_id": "UTPL", "course_id": "course-v1:UTPL+EFHE+2016", "path": "/event"}, "ip": "172.17.45.254", "event": "{\"code\": \"W3QqknVtHGw\", \"id\": \"ba1015d5ea8f4e49af7c498ce5d2d2cf\"}", "event_type": "load_video"},
video|{"username": "josguarnizo", "event_type": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/transcript/translation/en", "ip": "172.17.45.254", "agent": "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36", "host": "opencampus.utpl.edu.ec", "referer": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "accept_language": "es-ES,es;q=0.8", "event": "{\"POST\": {}, \"GET\": {\"videoId\": [\"W3QqknVtHGw\"]}}", "event_source": "server", "context": {"course_user_tags": {}, "user_id": 3139, "org_id": "UTPL", "course_id": "course-v1:UTPL+EFHE+2016", "path": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/transcript/translation/en"}, "time": "2016-10-24T17:02:41.791602+00:00", "page": null},
video|{"username": "josguarnizo", "event_type": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/xmodule_handler/save_user_state", "ip": "172.17.45.254", "agent": "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36", "host": "opencampus.utpl.edu.ec", "referer": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "accept_language": "es-ES,es;q=0.8", "event": "{\"POST\": {\"youtube_is_available\": [\"true\"]}, \"GET\": {}}", "event_source": "server", "context": {"course_user_tags": {}, "user_id": 3139, "org_id": "UTPL", "course_id": "course-v1:UTPL+EFHE+2016", "path": "/courses/course-v1:UTPL+EFHE+2016/xblock/block-v1:UTPL+EFHE+2016+type@video+block@ba1015d5ea8f4e49af7c498ce5d2d2cf/handler/xmodule_handler/save_user_state"}, "time": "2016-10-24T17:02:43.235529+00:00", "page": null},
video|{"username": "josguarnizo", "event_source": "browser", "name": "load_video", "accept_language": "es-ES,es;q=0.8", "time": "2016-10-24T17:02:43.511835+00:00", "agent": "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36", "page": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "host": "opencampus.utpl.edu.ec", "session": "c78c6bc04e8ad46658591b0d0272160e", "referer": "http://opencampus.utpl.edu.ec/courses/course-v1:UTPL+EFHE+2016/courseware/98f91ff6ec8d42768b1eb404c27eae5a/69ee1539f3e14ef6809a71b55627e4c0/", "context": {"user_id": 3139, "org_id": "UTPL", "course_id": "course-v1:UTPL+EFHE+2016", "path": "/event"}, "ip": "172.17.45.254", "event": "{\"code\": \"W3QqknVtHGw\", \"id\": \"ba1015d5ea8f4e49af7c498ce5d2d2cf\"}", "event_type": "load_video"},
