Category,Descript
WARRANTS,WARRANT ARREST
OTHER OFFENSES,TRAFFIC VIOLATION ARREST
OTHER OFFENSES,TRAFFIC VIOLATION ARREST
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
VEHICLE THEFT,STOLEN AUTOMOBILE
VEHICLE THEFT,STOLEN AUTOMOBILE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,FOUND PROPERTY
NON-CRIMINAL,FOUND PROPERTY
ROBBERY,"ROBBERY, ARMED WITH A KNIFE"
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE
OTHER OFFENSES,TRAFFIC VIOLATION
NON-CRIMINAL,FOUND PROPERTY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
ROBBERY,"ROBBERY, BODILY FORCE"
WARRANTS,WARRANT ARREST
NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,LOST PROPERTY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
WEAPON LAWS,SUSPICIOUS PACKAGE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT SHOPLIFTING
OTHER OFFENSES,PROBATION VIOLATION
OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
VEHICLE THEFT,STOLEN MOTORCYCLE
LARCENY/THEFT,GRAND THEFT FROM PERSON
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)"
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
LARCENY/THEFT,GRAND THEFT FROM PERSON
LARCENY/THEFT,GRAND THEFT OF PROPERTY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE
VEHICLE THEFT,STOLEN AUTOMOBILE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
WARRANTS,ENROUTE TO PAROLE OFFICER
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES,TRAFFIC VIOLATION ARREST
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT,STOLEN AUTOMOBILE
